value,date
77,2020-03-01
65,2020-03-02
66,2020-03-03
65,2020-03-04
62,2020-03-05
70,2020-03-06
66,2020-03-07
68,2020-03-08
54,2020-03-09
59,2020-03-10
51,2020-03-11
54,2020-03-12
61,2020-03-13
67,2020-03-14
71,2020-03-15
73,2020-03-16
80,2020-03-17
79,2020-03-18
70,2020-03-19
78,2020-03-20
64,2020-03-21
73,2020-03-22
72,2020-03-23
79,2020-03-24
74,2020-03-25
75,2020-03-26
72,2020-03-27
68,2020-03-28
72,2020-03-29
78,2020-03-30
70,2020-03-31
74,2020-04-01
63,2020-04-02
60,2020-04-03
64,2020-04-04
67,2020-04-05
59,2020-04-06
53,2020-04-07
64,2020-04-08
67,2020-04-09
65,2020-04-10
74,2020-04-11
65,2020-04-12
61,2020-04-13
68,2020-04-14
71,2020-04-15
64,2020-04-16
67,2020-04-17
74,2020-04-18
59,2020-04-19
60,2020-04-20
61,2020-04-21
61,2020-04-22
53,2020-04-23
42,2020-04-24
51,2020-04-25
47,2020-04-26
48,2020-04-27
49,2020-04-28
57,2020-04-29
55,2020-04-30
53,2020-05-01
58,2020-05-02
49,2020-05-03
48,2020-05-04
44,2020-05-05
50,2020-05-06
49,2020-05-07
46,2020-05-08
46,2020-05-09
53,2020-05-10
54,2020-05-11
49,2020-05-12
51,2020-05-13
61,2020-05-14
56,2020-05-15
56,2020-05-16
61,2020-05-17
52,2020-05-18
45,2020-05-19
50,2020-05-20
55,2020-05-21
51,2020-05-22
54,2020-05-23
63,2020-05-24
67,2020-05-25
54,2020-05-26
52,2020-05-27
51,2020-05-28
54,2020-05-29
66,2020-05-30
56,2020-05-31
52,2020-06-01
52,2020-06-02
49,2020-06-03
47,2020-06-04
48,2020-06-05
61,2020-06-06
54,2020-06-07
48,2020-06-08
48,2020-06-09
51,2020-06-10
55,2020-06-11
52,2020-06-12
53,2020-06-13
54,2020-06-14
49,2020-06-15
46,2020-06-16
50,2020-06-17
44,2020-06-18
46,2020-06-19
53,2020-06-20
48,2020-06-21
46,2020-06-22
46,2020-06-23
44,2020-06-24
49,2020-06-25
50,2020-06-26
49,2020-06-27
46,2020-06-28
46,2020-06-29
53,2020-06-30
89,2020-07-01
100,2020-07-02
63,2020-07-03
66,2020-07-04
59,2020-07-05
52,2020-07-06
50,2020-07-07
51,2020-07-08
52,2020-07-09
44,2020-07-10
63,2020-07-11
53,2020-07-12
48,2020-07-13
53,2020-07-14
51,2020-07-15
48,2020-07-16
49,2020-07-17
58,2020-07-18
62,2020-07-19
55,2020-07-20
52,2020-07-21
57,2020-07-22
51,2020-07-23
45,2020-07-24
54,2020-07-25
57,2020-07-26
55,2020-07-27
50,2020-07-28
56,2020-07-29
47,2020-07-30
66,2020-07-31
61,2020-08-01
59,2020-08-02
62,2020-08-03
45,2020-08-04
47,2020-08-05
43,2020-08-06
56,2020-08-07
51,2020-08-08
49,2020-08-09
47,2020-08-10
46,2020-08-11
48,2020-08-12
56,2020-08-13
46,2020-08-14
52,2020-08-15
59,2020-08-16
51,2020-08-17
46,2020-08-18
46,2020-08-19
48,2020-08-20
49,2020-08-21
50,2020-08-22
60,2020-08-23
51,2020-08-24
51,2020-08-25
46,2020-08-26
48,2020-08-27
46,2020-08-28
57,2020-08-29
82,2020-08-30
53,2020-08-31
55,2020-09-01
54,2020-09-02
47,2020-09-03
47,2020-09-04
55,2020-09-05
57,2020-09-06
47,2020-09-07
47,2020-09-08
47,2020-09-09
50,2020-09-10
54,2020-09-11
59,2020-09-12
52,2020-09-13
49,2020-09-14
48,2020-09-15
50,2020-09-16
48,2020-09-17
50,2020-09-18
57,2020-09-19
56,2020-09-20
50,2020-09-21
46,2020-09-22
48,2020-09-23
51,2020-09-24
48,2020-09-25
53,2020-09-26
48,2020-09-27
53,2020-09-28
48,2020-09-29
50,2020-09-30
49,2020-10-01
52,2020-10-02
59,2020-10-03
56,2020-10-04
47,2020-10-05
50,2020-10-06
47,2020-10-07
45,2020-10-08
47,2020-10-09
52,2020-10-10
58,2020-10-11
46,2020-10-12
49,2020-10-13
42,2020-10-14
44,2020-10-15
46,2020-10-16
55,2020-10-17
50,2020-10-18
44,2020-10-19
46,2020-10-20
46,2020-10-21
44,2020-10-22
46,2020-10-23
59,2020-10-24
55,2020-10-25
51,2020-10-26
55,2020-10-27
48,2020-10-28
50,2020-10-29
49,2020-10-30
54,2020-10-31
