value,date
37,2019-03-01
43,2019-03-02
44,2019-03-03
42,2019-03-04
44,2019-03-05
42,2019-03-06
36,2019-03-07
38,2019-03-08
42,2019-03-09
49,2019-03-10
37,2019-03-11
41,2019-03-12
56,2019-03-13
40,2019-03-14
42,2019-03-15
46,2019-03-16
46,2019-03-17
39,2019-03-18
39,2019-03-19
39,2019-03-20
46,2019-03-21
43,2019-03-22
40,2019-03-23
42,2019-03-24
39,2019-03-25
39,2019-03-26
38,2019-03-27
37,2019-03-28
46,2019-03-29
43,2019-03-30
32,2019-03-31
27,2019-04-01
30,2019-04-02
37,2019-04-03
38,2019-04-04
43,2019-04-05
41,2019-04-06
42,2019-04-07
35,2019-04-08
40,2019-04-09
43,2019-04-10
38,2019-04-11
47,2019-04-12
47,2019-04-13
56,2019-04-14
48,2019-04-15
48,2019-04-16
41,2019-04-17
43,2019-04-18
42,2019-04-19
52,2019-04-20
100,2019-04-21
73,2019-04-22
68,2019-04-23
56,2019-04-24
48,2019-04-25
50,2019-04-26
51,2019-04-27
57,2019-04-28
54,2019-04-29
56,2019-04-30
56,2019-05-01
47,2019-05-02
52,2019-05-03
55,2019-05-04
51,2019-05-05
39,2019-05-06
48,2019-05-07
47,2019-05-08
46,2019-05-09
47,2019-05-10
50,2019-05-11
44,2019-05-12
57,2019-05-13
88,2019-05-14
60,2019-05-15
52,2019-05-16
51,2019-05-17
55,2019-05-18
49,2019-05-19
48,2019-05-20
43,2019-05-21
46,2019-05-22
46,2019-05-23
43,2019-05-24
45,2019-05-25
41,2019-05-26
40,2019-05-27
41,2019-05-28
38,2019-05-29
53,2019-05-30
39,2019-05-31
49,2019-06-01
50,2019-06-02
44,2019-06-03
62,2019-06-04
69,2019-06-05
62,2019-06-06
52,2019-06-07
54,2019-06-08
53,2019-06-09
49,2019-06-10
43,2019-06-11
48,2019-06-12
45,2019-06-13
40,2019-06-14
48,2019-06-15
49,2019-06-16
39,2019-06-17
42,2019-06-18
43,2019-06-19
43,2019-06-20
40,2019-06-21
55,2019-06-22
45,2019-06-23
42,2019-06-24
43,2019-06-25
42,2019-06-26
42,2019-06-27
48,2019-06-28
53,2019-06-29
52,2019-06-30
41,2019-07-01
42,2019-07-02
77,2019-07-03
43,2019-07-04
44,2019-07-05
51,2019-07-06
46,2019-07-07
39,2019-07-08
45,2019-07-09
45,2019-07-10
45,2019-07-11
43,2019-07-12
48,2019-07-13
51,2019-07-14
47,2019-07-15
46,2019-07-16
42,2019-07-17
42,2019-07-18
47,2019-07-19
43,2019-07-20
47,2019-07-21
41,2019-07-22
36,2019-07-23
40,2019-07-24
42,2019-07-25
37,2019-07-26
44,2019-07-27
40,2019-07-28
40,2019-07-29
42,2019-07-30
45,2019-07-31
43,2019-08-01
49,2019-08-02
50,2019-08-03
54,2019-08-04
39,2019-08-05
42,2019-08-06
42,2019-08-07
43,2019-08-08
42,2019-08-09
40,2019-08-10
42,2019-08-11
43,2019-08-12
50,2019-08-13
44,2019-08-14
43,2019-08-15
43,2019-08-16
48,2019-08-17
45,2019-08-18
49,2019-08-19
41,2019-08-20
44,2019-08-21
42,2019-08-22
41,2019-08-23
48,2019-08-24
47,2019-08-25
43,2019-08-26
42,2019-08-27
42,2019-08-28
41,2019-08-29
45,2019-08-30
44,2019-08-31
53,2019-09-01
36,2019-09-02
40,2019-09-03
43,2019-09-04
39,2019-09-05
39,2019-09-06
46,2019-09-07
44,2019-09-08
45,2019-09-09
41,2019-09-10
47,2019-09-11
45,2019-09-12
43,2019-09-13
46,2019-09-14
47,2019-09-15
58,2019-09-16
43,2019-09-17
43,2019-09-18
53,2019-09-19
46,2019-09-20
48,2019-09-21
43,2019-09-22
41,2019-09-23
40,2019-09-24
39,2019-09-25
34,2019-09-26
41,2019-09-27
58,2019-09-28
48,2019-09-29
39,2019-09-30
45,2019-10-01
43,2019-10-02
44,2019-10-03
42,2019-10-04
43,2019-10-05
44,2019-10-06
39,2019-10-07
38,2019-10-08
41,2019-10-09
49,2019-10-10
54,2019-10-11
49,2019-10-12
48,2019-10-13
36,2019-10-14
42,2019-10-15
37,2019-10-16
39,2019-10-17
41,2019-10-18
42,2019-10-19
43,2019-10-20
39,2019-10-21
42,2019-10-22
44,2019-10-23
39,2019-10-24
44,2019-10-25
47,2019-10-26
52,2019-10-27
43,2019-10-28
44,2019-10-29
37,2019-10-30
41,2019-10-31
