value,date
100,2014-04-01
89,2014-04-02
95,2014-04-03
60,2014-04-04
75,2014-04-05
64,2014-04-06
51,2014-04-07
38,2014-04-08
31,2014-04-09
35,2014-04-10
36,2014-04-11
34,2014-04-12
34,2014-04-13
28,2014-04-14
29,2014-04-15
29,2014-04-16
28,2014-04-17
27,2014-04-18
30,2014-04-19
28,2014-04-20
25,2014-04-21
30,2014-04-22
29,2014-04-23
25,2014-04-24
25,2014-04-25
29,2014-04-26
26,2014-04-27
23,2014-04-28
25,2014-04-29
25,2014-04-30
26,2014-05-01
22,2014-05-02
26,2014-05-03
30,2014-05-04
22,2014-05-05
26,2014-05-06
26,2014-05-07
27,2014-05-08
27,2014-05-09
24,2014-05-10
26,2014-05-11
22,2014-05-12
23,2014-05-13
21,2014-05-14
20,2014-05-15
24,2014-05-16
25,2014-05-17
24,2014-05-18
26,2014-05-19
24,2014-05-20
21,2014-05-21
21,2014-05-22
19,2014-05-23
24,2014-05-24
25,2014-05-25
20,2014-05-26
18,2014-05-27
23,2014-05-28
19,2014-05-29
23,2014-05-30
23,2014-05-31
20,2014-06-01
18,2014-06-02
22,2014-06-03
13,2014-06-04
12,2014-06-05
14,2014-06-06
16,2014-06-07
17,2014-06-08
13,2014-06-09
12,2014-06-10
13,2014-06-11
13,2014-06-12
16,2014-06-13
18,2014-06-14
16,2014-06-15
15,2014-06-16
14,2014-06-17
17,2014-06-18
16,2014-06-19
16,2014-06-20
17,2014-06-21
14,2014-06-22
14,2014-06-23
14,2014-06-24
14,2014-06-25
15,2014-06-26
15,2014-06-27
12,2014-06-28
13,2014-06-29
13,2014-06-30
11,2014-07-01
13,2014-07-02
14,2014-07-03
12,2014-07-04
14,2014-07-05
16,2014-07-06
13,2014-07-07
13,2014-07-08
11,2014-07-09
12,2014-07-10
12,2014-07-11
15,2014-07-12
14,2014-07-13
15,2014-07-14
13,2014-07-15
13,2014-07-16
16,2014-07-17
14,2014-07-18
13,2014-07-19
15,2014-07-20
14,2014-07-21
13,2014-07-22
12,2014-07-23
14,2014-07-24
11,2014-07-25
15,2014-07-26
14,2014-07-27
16,2014-07-28
18,2014-07-29
18,2014-07-30
16,2014-07-31
14,2014-08-01
14,2014-08-02
14,2014-08-03
16,2014-08-04
14,2014-08-05
12,2014-08-06
17,2014-08-07
15,2014-08-08
11,2014-08-09
13,2014-08-10
13,2014-08-11
14,2014-08-12
12,2014-08-13
14,2014-08-14
16,2014-08-15
13,2014-08-16
13,2014-08-17
16,2014-08-18
15,2014-08-19
16,2014-08-20
13,2014-08-21
14,2014-08-22
12,2014-08-23
15,2014-08-24
12,2014-08-25
15,2014-08-26
14,2014-08-27
13,2014-08-28
14,2014-08-29
16,2014-08-30
15,2014-08-31
13,2014-09-01
13,2014-09-02
12,2014-09-03
17,2014-09-04
14,2014-09-05
12,2014-09-06
16,2014-09-07
14,2014-09-08
14,2014-09-09
14,2014-09-10
17,2014-09-11
14,2014-09-12
16,2014-09-13
14,2014-09-14
17,2014-09-15
13,2014-09-16
16,2014-09-17
14,2014-09-18
15,2014-09-19
19,2014-09-20
17,2014-09-21
16,2014-09-22
14,2014-09-23
16,2014-09-24
15,2014-09-25
16,2014-09-26
19,2014-09-27
16,2014-09-28
13,2014-09-29
18,2014-09-30
12,2014-10-01
15,2014-10-02
14,2014-10-03
18,2014-10-04
19,2014-10-05
20,2014-10-06
17,2014-10-07
15,2014-10-08
19,2014-10-09
19,2014-10-10
18,2014-10-11
19,2014-10-12
16,2014-10-13
16,2014-10-14
19,2014-10-15
16,2014-10-16
15,2014-10-17
16,2014-10-18
18,2014-10-19
14,2014-10-20
15,2014-10-21
17,2014-10-22
14,2014-10-23
17,2014-10-24
20,2014-10-25
17,2014-10-26
13,2014-10-27
20,2014-10-28
17,2014-10-29
17,2014-10-30
16,2014-10-31
18,2014-11-01
17,2014-11-02
14,2014-11-03
19,2014-11-04
19,2014-11-05
19,2014-11-06
18,2014-11-07
17,2014-11-08
23,2014-11-09
17,2014-11-10
22,2014-11-11
17,2014-11-12
15,2014-11-13
17,2014-11-14
21,2014-11-15
19,2014-11-16
20,2014-11-17
21,2014-11-18
20,2014-11-19
20,2014-11-20
19,2014-11-21
20,2014-11-22
20,2014-11-23
19,2014-11-24
19,2014-11-25
18,2014-11-26
18,2014-11-27
18,2014-11-28
21,2014-11-29
17,2014-11-30
