value,date
8,2016-03-01
7,2016-03-02
8,2016-03-03
8,2016-03-04
6,2016-03-05
6,2016-03-06
8,2016-03-07
9,2016-03-08
8,2016-03-09
9,2016-03-10
9,2016-03-11
6,2016-03-12
20,2016-03-13
9,2016-03-14
8,2016-03-15
9,2016-03-16
7,2016-03-17
10,2016-03-18
31,2016-03-19
54,2016-03-20
16,2016-03-21
11,2016-03-22
10,2016-03-23
9,2016-03-24
8,2016-03-25
8,2016-03-26
9,2016-03-27
9,2016-03-28
9,2016-03-29
8,2016-03-30
9,2016-03-31
9,2016-04-01
7,2016-04-02
7,2016-04-03
7,2016-04-04
8,2016-04-05
13,2016-04-06
9,2016-04-07
9,2016-04-08
7,2016-04-09
7,2016-04-10
9,2016-04-11
8,2016-04-12
8,2016-04-13
8,2016-04-14
9,2016-04-15
8,2016-04-16
7,2016-04-17
9,2016-04-18
9,2016-04-19
13,2016-04-20
15,2016-04-21
14,2016-04-22
7,2016-04-23
8,2016-04-24
13,2016-04-25
13,2016-04-26
11,2016-04-27
11,2016-04-28
9,2016-04-29
8,2016-04-30
7,2016-05-01
10,2016-05-02
9,2016-05-03
11,2016-05-04
11,2016-05-05
10,2016-05-06
7,2016-05-07
7,2016-05-08
10,2016-05-09
9,2016-05-10
9,2016-05-11
9,2016-05-12
9,2016-05-13
8,2016-05-14
7,2016-05-15
7,2016-05-16
10,2016-05-17
9,2016-05-18
6,2016-05-19
9,2016-05-20
6,2016-05-21
7,2016-05-22
7,2016-05-23
9,2016-05-24
9,2016-05-25
8,2016-05-26
8,2016-05-27
7,2016-05-28
7,2016-05-29
9,2016-05-30
10,2016-05-31
8,2016-06-01
7,2016-06-02
8,2016-06-03
7,2016-06-04
5,2016-06-05
6,2016-06-06
7,2016-06-07
8,2016-06-08
7,2016-06-09
6,2016-06-10
6,2016-06-11
6,2016-06-12
6,2016-06-13
7,2016-06-14
7,2016-06-15
6,2016-06-16
6,2016-06-17
6,2016-06-18
6,2016-06-19
5,2016-06-20
6,2016-06-21
6,2016-06-22
7,2016-06-23
8,2016-06-24
8,2016-06-25
7,2016-06-26
7,2016-06-27
14,2016-06-28
100,2016-06-29
11,2016-06-30
8,2016-07-01
9,2016-07-02
8,2016-07-03
7,2016-07-04
10,2016-07-05
11,2016-07-06
10,2016-07-07
9,2016-07-08
10,2016-07-09
9,2016-07-10
9,2016-07-11
8,2016-07-12
8,2016-07-13
8,2016-07-14
37,2016-07-15
15,2016-07-16
13,2016-07-17
8,2016-07-18
10,2016-07-19
10,2016-07-20
8,2016-07-21
9,2016-07-22
7,2016-07-23
7,2016-07-24
7,2016-07-25
9,2016-07-26
8,2016-07-27
8,2016-07-28
8,2016-07-29
8,2016-07-30
9,2016-07-31
8,2016-08-01
7,2016-08-02
8,2016-08-03
7,2016-08-04
8,2016-08-05
8,2016-08-06
10,2016-08-07
7,2016-08-08
7,2016-08-09
7,2016-08-10
6,2016-08-11
7,2016-08-12
9,2016-08-13
9,2016-08-14
6,2016-08-15
5,2016-08-16
7,2016-08-17
7,2016-08-18
8,2016-08-19
10,2016-08-20
10,2016-08-21
7,2016-08-22
7,2016-08-23
6,2016-08-24
42,2016-08-25
14,2016-08-26
9,2016-08-27
9,2016-08-28
8,2016-08-29
9,2016-08-30
7,2016-08-31
8,2016-09-01
9,2016-09-02
11,2016-09-03
9,2016-09-04
8,2016-09-05
9,2016-09-06
8,2016-09-07
9,2016-09-08
8,2016-09-09
9,2016-09-10
7,2016-09-11
7,2016-09-12
10,2016-09-13
10,2016-09-14
9,2016-09-15
6,2016-09-16
10,2016-09-17
9,2016-09-18
10,2016-09-19
12,2016-09-20
14,2016-09-21
13,2016-09-22
10,2016-09-23
9,2016-09-24
9,2016-09-25
9,2016-09-26
11,2016-09-27
9,2016-09-28
10,2016-09-29
11,2016-09-30
11,2016-10-01
9,2016-10-02
9,2016-10-03
10,2016-10-04
9,2016-10-05
11,2016-10-06
9,2016-10-07
12,2016-10-08
12,2016-10-09
10,2016-10-10
11,2016-10-11
9,2016-10-12
9,2016-10-13
9,2016-10-14
10,2016-10-15
10,2016-10-16
8,2016-10-17
9,2016-10-18
10,2016-10-19
10,2016-10-20
22,2016-10-21
11,2016-10-22
8,2016-10-23
9,2016-10-24
10,2016-10-25
11,2016-10-26
11,2016-10-27
9,2016-10-28
10,2016-10-29
9,2016-10-30
8,2016-10-31
