value,date
67,2010-12-26
51,2011-01-02
61,2011-01-09
52,2011-01-16
56,2011-01-23
64,2011-01-30
58,2011-02-06
64,2011-02-13
57,2011-02-20
62,2011-02-27
59,2011-03-06
60,2011-03-13
62,2011-03-20
61,2011-03-27
54,2011-04-03
63,2011-04-10
54,2011-04-17
61,2011-04-24
100,2011-05-01
78,2011-05-08
83,2011-05-15
72,2011-05-22
74,2011-05-29
79,2011-06-05
70,2011-06-12
78,2011-06-19
83,2011-06-26
80,2011-07-03
85,2011-07-10
66,2011-07-17
64,2011-07-24
74,2011-07-31
69,2011-08-07
70,2011-08-14
68,2011-08-21
72,2011-08-28
70,2011-09-04
73,2011-09-11
74,2011-09-18
82,2011-09-25
84,2011-10-02
78,2011-10-09
87,2011-10-16
89,2011-10-23
84,2011-10-30
72,2011-11-06
76,2011-11-13
90,2011-11-20
71,2011-11-27
78,2011-12-04
79,2011-12-11
89,2011-12-18
76,2011-12-25
77,2012-01-01
73,2012-01-08
76,2012-01-15
80,2012-01-22
87,2012-01-29
72,2012-02-05
88,2012-02-12
83,2012-02-19
83,2012-02-26
74,2012-03-04
68,2012-03-11
66,2012-03-18
87,2012-03-25
91,2012-04-01
78,2012-04-08
81,2012-04-15
76,2012-04-22
65,2012-04-29
81,2012-05-06
66,2012-05-13
75,2012-05-20
84,2012-05-27
